,0
0,0.29142075592828315
1,0.22569798915001185
2,0.10294238240517
3,0.07844720500009465
4,0.04302142031085084
5,0.04034053050077006
6,0.04672708146884848
7,0.03862164885374554
8,0.0963038472427852
9,0.04491323177799696
10,0.04037069602007252
11,0.034542828725551984
12,0.03624771886878663
13,0.04752716661901541
14,0.04117998582680466
15,0.032627030286524965
16,0.028382639795140437
17,0.03202718730899389
18,0.028680549083282665
19,0.032628702333167746
20,0.024606190667688137
21,0.03250365815703331
22,0.039998571803605554
23,0.03152974715938032
24,0.02962113271865377
25,0.032589533400760616
26,0.025035516750957748
27,0.02707265856861905
28,0.030233987568091137
29,0.02391004155157021
30,0.02577584791823749
31,0.02605380843233279
32,0.02778751745953664
33,0.02034736936454368
34,0.036296167588092454
35,0.02415855808843743
36,0.022750269314661214
37,0.02353967764244581
38,0.020376280418226218
39,0.021122592355643417
40,0.022985143230149826
41,0.02046882827677459
42,0.019994723102786504
43,0.024001728719275098
44,0.021186826574458667
45,0.022968973268988935
46,0.02273628025380437
47,0.026221561130800385
48,0.016529992699076904
49,0.018193159973041467
50,0.01962082155062867
51,0.019588854613220193
52,0.01627563455679478
53,0.019715595606937555
54,0.018554737816430463
55,0.018824941356886248
56,0.019274686416395122
57,0.01757402352949889
58,0.01779908606391824
59,0.01796912453367112
60,0.01623014415269358
61,0.016570590281819987
62,0.01977309400582391
63,0.020246792678301956
64,0.0181773699122738
65,0.016004526770350823
66,0.017746752079849312
67,0.01582921503940704
68,0.014450739455585511
69,0.018853119139080797
70,0.017442194269595725
71,0.015073016525253082
72,0.01813450762850462
73,0.018642771747670515
74,0.018055145472880747
75,0.015054242388175218
76,0.01817621919875556
77,0.0168187365905386
78,0.015392375685384353
79,0.01700063190954667
80,0.0157934174460147
81,0.017779433838882287
82,0.014758945595951584
83,0.015719545836667976
84,0.015400623590191214
85,0.01433581414582591
86,0.01582331717489475
87,0.016233336320523133
88,0.015139312395434814
89,0.017657903856349775
90,0.014781866252586767
91,0.015191425342373535
92,0.014736030496952211
93,0.016188122792955825
94,0.01563198900692197
95,0.01606255480621267
96,0.015254789103951916
97,0.014675599275549463
98,0.012679459408800525
99,0.01366741274610118
100,0.013165924959468356
101,0.01370064383239824
102,0.013347062623380153
103,0.012604410962648768
104,0.013806344972543006
105,0.013984929325554367
106,0.013326746244065412
107,0.014182897693385082
108,0.01273480750752783
109,0.012264140720558168
110,0.01567200759430594
111,0.014033046414828127
112,0.014877915303703484
113,0.016075570076708547
114,0.013765164585941864
115,0.013047557431715389
116,0.015598305652742828
117,0.012124457244401008
118,0.01834115633084049
119,0.013074846808150643
120,0.012901573981048619
121,0.011706299462761048
122,0.011870753995606852
123,0.011871847050195774
124,0.01197145364881209
125,0.012097079812364308
126,0.012325487115909245
127,0.013793337825638427
128,0.015337561232071462
129,0.012230117338494533
130,0.013391920078645305
131,0.014037636522970272
132,0.01286935992305892
133,0.011610181213809264
134,0.011604425297527253
135,0.013048217709535338
136,0.012414948841870534
137,0.012803745520944354
138,0.01584042825464026
139,0.011738150615235013
140,0.014015810900172525
141,0.012159846193414465
142,0.013288344367285508
143,0.011047274406990708
144,0.01125549718012179
145,0.011322226891571856
146,0.014026608265425606
147,0.012320703798064504
148,0.012191662493903374
149,0.012093825306765438
150,0.01160424708215655
151,0.011095305810020214
152,0.011658456494846923
153,0.01188467222258699
154,0.012435461462640077
155,0.012146948402441635
156,0.012592945626584801
157,0.011627833281373996
158,0.011262593491285418
159,0.012051994098129118
160,0.011403188509766363
161,0.010650978615048746
162,0.010139553678732302
163,0.013291214411568423
164,0.011791954161464984
165,0.010873019245139361
166,0.01083600403506054
167,0.010510982046514666
168,0.012284863520956823
169,0.011174577733880012
170,0.011388336263425582
171,0.013309094469003552
172,0.011745029734952773
173,0.010724088285481869
174,0.010659680630233613
175,0.010021783777065408
176,0.011920718532234396
177,0.011247559714694554
178,0.012747874487540696
179,0.011153471410894527
180,0.011733988467085324
181,0.010826417972318193
182,0.009869478896016996
183,0.009256019976883922
184,0.011166407441720663
185,0.010385609937836864
186,0.009697409976982041
187,0.0102285916858501
188,0.011097587164836348
189,0.010292702030711554
190,0.009891470393204024
191,0.011128180414620494
192,0.009615333611828012
193,0.010809505418829966
194,0.0107379242188129
195,0.011968792265256743
196,0.01031621470996095
197,0.009902187362480984
